"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 24 16:41:33 GMT 2022","Fri Jun 24 16:41:36 GMT 2022","2331","test_conduit","test_remek","TestConduit","","","test_sign_in",""
"broken","Fri Jun 24 16:41:40 GMT 2022","Fri Jun 24 16:41:43 GMT 2022","2327","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Fri Jun 24 16:41:29 GMT 2022","Fri Jun 24 16:41:31 GMT 2022","2408","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
"passed","Fri Jun 24 16:41:37 GMT 2022","Fri Jun 24 16:41:38 GMT 2022","183","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"passed","Fri Jun 24 16:41:11 GMT 2022","Fri Jun 24 16:41:26 GMT 2022","15136","test_conduit","test_remek","TestConduit","","","test_cookie",""
