"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 16:49:43 GMT 2022","Mon Jun 27 16:49:54 GMT 2022","10658","test_conduit","test_remek","TestConduit","","","test_name_change",""
"passed","Mon Jun 27 16:48:40 GMT 2022","Mon Jun 27 16:48:42 GMT 2022","2248","test_conduit","test_remek","TestConduit","","","test_sign_in",""
"passed","Mon Jun 27 16:49:25 GMT 2022","Mon Jun 27 16:49:41 GMT 2022","16785","test_conduit","test_remek","TestConduit","","","test_delete_article",""
"passed","Mon Jun 27 16:49:04 GMT 2022","Mon Jun 27 16:49:23 GMT 2022","19487","test_conduit","test_remek","TestConduit","","","test_import_articles",""
"passed","Mon Jun 27 16:49:55 GMT 2022","Mon Jun 27 16:49:57 GMT 2022","2310","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Mon Jun 27 16:48:47 GMT 2022","Mon Jun 27 16:48:54 GMT 2022","6384","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
"passed","Mon Jun 27 16:48:44 GMT 2022","Mon Jun 27 16:48:44 GMT 2022","133","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"passed","Mon Jun 27 16:48:55 GMT 2022","Mon Jun 27 16:49:02 GMT 2022","6884","test_conduit","test_remek","TestConduit","","","test_adding_new_input",""
"passed","Mon Jun 27 16:48:36 GMT 2022","Mon Jun 27 16:48:38 GMT 2022","2301","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"passed","Mon Jun 27 16:48:15 GMT 2022","Mon Jun 27 16:48:30 GMT 2022","15105","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Mon Jun 27 16:48:32 GMT 2022","Mon Jun 27 16:48:34 GMT 2022","2292","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
"passed","Mon Jun 27 16:48:45 GMT 2022","Mon Jun 27 16:48:46 GMT 2022","130","test_conduit","test_remek","TestConduit","","","test_export_data",""
