"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 09:05:56 GMT 2022","Sun Jun 26 09:05:58 GMT 2022","2363","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"passed","Sun Jun 26 09:06:15 GMT 2022","Sun Jun 26 09:06:22 GMT 2022","7218","test_conduit","test_remek","TestConduit","","","test_adding_new_input",""
"passed","Sun Jun 26 09:05:52 GMT 2022","Sun Jun 26 09:05:54 GMT 2022","2674","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
"passed","Sun Jun 26 09:06:04 GMT 2022","Sun Jun 26 09:06:04 GMT 2022","179","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"failed","Sun Jun 26 09:07:21 GMT 2022","Sun Jun 26 09:07:23 GMT 2022","2345","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Sun Jun 26 09:05:34 GMT 2022","Sun Jun 26 09:05:49 GMT 2022","15133","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Sun Jun 26 09:06:46 GMT 2022","Sun Jun 26 09:07:15 GMT 2022","29930","test_conduit","test_remek","TestConduit","","","test_delete_article",""
"passed","Sun Jun 26 09:06:00 GMT 2022","Sun Jun 26 09:06:02 GMT 2022","2318","test_conduit","test_remek","TestConduit","","","test_sign_in",""
"passed","Sun Jun 26 09:06:24 GMT 2022","Sun Jun 26 09:06:44 GMT 2022","19965","test_conduit","test_remek","TestConduit","","","test_import_articles",""
"failed","Sun Jun 26 09:07:17 GMT 2022","Sun Jun 26 09:07:19 GMT 2022","2356","test_conduit","test_remek","TestConduit","","","test_name_change",""
"passed","Sun Jun 26 09:06:07 GMT 2022","Sun Jun 26 09:06:13 GMT 2022","6500","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
