"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 15:18:32 GMT 2022","Mon Jun 27 15:18:38 GMT 2022","6387","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
"passed","Mon Jun 27 15:18:28 GMT 2022","Mon Jun 27 15:18:28 GMT 2022","133","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"passed","Mon Jun 27 15:19:51 GMT 2022","Mon Jun 27 15:19:53 GMT 2022","2341","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Mon Jun 27 15:19:09 GMT 2022","Mon Jun 27 15:19:42 GMT 2022","32906","test_conduit","test_remek","TestConduit","","","test_delete_article",""
"passed","Mon Jun 27 15:17:59 GMT 2022","Mon Jun 27 15:18:14 GMT 2022","15147","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Mon Jun 27 15:18:30 GMT 2022","Mon Jun 27 15:18:30 GMT 2022","130","test_conduit","test_remek","TestConduit","","","test_export_data",""
"passed","Mon Jun 27 15:19:44 GMT 2022","Mon Jun 27 15:19:49 GMT 2022","5502","test_conduit","test_remek","TestConduit","","","test_name_change",""
"passed","Mon Jun 27 15:18:40 GMT 2022","Mon Jun 27 15:18:46 GMT 2022","6859","test_conduit","test_remek","TestConduit","","","test_adding_new_input",""
"passed","Mon Jun 27 15:18:25 GMT 2022","Mon Jun 27 15:18:27 GMT 2022","2250","test_conduit","test_remek","TestConduit","","","test_sign_in",""
"passed","Mon Jun 27 15:18:48 GMT 2022","Mon Jun 27 15:19:08 GMT 2022","19545","test_conduit","test_remek","TestConduit","","","test_import_articles",""
"passed","Mon Jun 27 15:18:21 GMT 2022","Mon Jun 27 15:18:23 GMT 2022","2305","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"passed","Mon Jun 27 15:18:17 GMT 2022","Mon Jun 27 15:18:19 GMT 2022","2392","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
