"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 15:55:30 GMT 2022","Sat Jun 25 15:55:32 GMT 2022","2314","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"failed","Sat Jun 25 15:56:31 GMT 2022","Sat Jun 25 15:56:34 GMT 2022","2284","test_conduit","test_remek","TestConduit","","","test_logout",""
"broken","Sat Jun 25 15:55:56 GMT 2022","Sat Jun 25 15:55:58 GMT 2022","2265","test_conduit","test_remek","TestConduit","","","test_import_articles",""
"passed","Sat Jun 25 15:55:38 GMT 2022","Sat Jun 25 15:55:38 GMT 2022","134","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"passed","Sat Jun 25 15:55:09 GMT 2022","Sat Jun 25 15:55:24 GMT 2022","15189","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Sat Jun 25 15:55:34 GMT 2022","Sat Jun 25 15:55:36 GMT 2022","2275","test_conduit","test_remek","TestConduit","","","test_sign_in",""
"passed","Sat Jun 25 15:55:40 GMT 2022","Sat Jun 25 15:55:46 GMT 2022","6416","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 25 15:55:48 GMT 2022","Sat Jun 25 15:55:55 GMT 2022","6994","test_conduit","test_remek","TestConduit","","","test_adding_new_input",""
"passed","Sat Jun 25 15:56:00 GMT 2022","Sat Jun 25 15:56:30 GMT 2022","29699","test_conduit","test_remek","TestConduit","","","test_delete_article",""
"passed","Sat Jun 25 15:55:26 GMT 2022","Sat Jun 25 15:55:29 GMT 2022","2490","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
