"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 13:05:01 GMT 2022","Sat Jun 25 13:05:01 GMT 2022","141","test_conduit","test_remek","TestConduit","","","test_list_popular_tags",""
"passed","Sat Jun 25 13:04:32 GMT 2022","Sat Jun 25 13:04:47 GMT 2022","15119","test_conduit","test_remek","TestConduit","","","test_cookie",""
"passed","Sat Jun 25 13:05:11 GMT 2022","Sat Jun 25 13:05:13 GMT 2022","2324","test_conduit","test_remek","TestConduit","","","test_logout",""
"passed","Sat Jun 25 13:05:03 GMT 2022","Sat Jun 25 13:05:09 GMT 2022","6386","test_conduit","test_remek","TestConduit","","","test_page_navigation",""
"passed","Sat Jun 25 13:04:54 GMT 2022","Sat Jun 25 13:04:56 GMT 2022","2280","test_conduit","test_remek","TestConduit","","","test_registration_valid",""
"passed","Sat Jun 25 13:04:50 GMT 2022","Sat Jun 25 13:04:52 GMT 2022","2342","test_conduit","test_remek","TestConduit","","","test_registration_invalid",""
"passed","Sat Jun 25 13:04:57 GMT 2022","Sat Jun 25 13:05:00 GMT 2022","2268","test_conduit","test_remek","TestConduit","","","test_sign_in",""
